Name,Rating,Position,PAC,SHO,PAS,DRI,DEF,PHY,Total_stats,PMD,Nacionalidad,Liga,Club
Laudrup,89,CAM,86,83,90,91,41,64,455,75.83,Denmark,Icono,Icono
Lineker,89,ST,86,89,71,84,40,75,445,74.17,England,Icono,Icono
Alisson,89,GK,86,85,85,89,56,90,491,81.83,Brazil,Premier League,Liverpool
Brandt,89,CAM,84,83,89,90,54,75,475,79.17,Germany,Bundesliga,Borussia Dortmund
Salah,89,RW,89,87,82,88,45,75,466,77.67,Egypt,Premier League,Liverpool
Grealish,89,LW,86,86,88,93,60,82,495,82.50,England,Premier League,Manchester City
van Dijk,89,CB,78,60,71,71,89,86,455,75.83,Netherlands,Premier League,Liverpool
Son,89,ST,89,91,84,87,46,76,473,78.83,Korea Republic,Premier League,Spurs
Griezmann,89,ST,82,90,88,90,60,77,487,81.17,France,LALIGA EA SPORTS,Atletico de Madrid
ter Stegen,89,GK,86,85,89,91,47,86,484,80.67,Germany,LALIGA EA SPORTS,FC Barcelona
Courtois,89,GK,85,89,76,90,46,88,474,79.00,Belgium,LALIGA EA SPORTS,Real Madrid
Ginola,89,LM,90,88,87,91,55,84,495,82.50,France,Ligue 1 McDonald's,
Emilio Butragueno,89,ST,92,89,78,90,40,65,454,75.67,Spain,Icono,Icono
Gros,89,CDM,81,85,93,87,85,84,515,85.83,Germany,Bundesliga,Borussia Dortmund
Socrates,89,CAM,82,88,89,88,43,82,472,78.67,Brazil,Icono,Icono
Lewandowski,89,ST,77,89,81,87,45,85,464,77.33,Poland,LALIGA EA SPORTS,FC Barcelona
Gundogan,89,CM,82,86,88,89,83,81,509,84.83,Germany,Premier League,Manchester City
Modric,89,CM,81,85,90,89,75,70,490,81.67,Croatia,LALIGA EA SPORTS,Real Madrid
Hamsik,89,CAM,85,89,89,88,78,86,515,85.83,Slovakia,Serie A Enilive,
Abedi Pele,89,CAM,91,83,87,91,48,66,466,77.67,Ghana,Ligue 1 McDonald's,
Cantona,89,ST,86,89,86,89,50,88,488,81.33,France,Icono,Icono
Papin,89,ST,83,93,73,83,44,76,452,75.33,France,Ligue 1 McDonald's,
Voller,89,ST,89,90,76,86,47,85,473,78.83,Germany,Bundesliga,
Sanchez,89,ST,89,90,78,88,41,72,458,76.33,Mexico,Icono,Icono
Messi,89,RW,81,86,89,93,34,65,448,74.67,Argentina,MLS,Inter Miami CF
Kaka,89,CAM,89,84,86,90,43,71,463,77.17,Brazil,Icono,Icono
Schweinsteiger,89,CM,78,84,89,86,84,85,506,84.33,Germany,Icono,Icono
Lahm,89,RB,84,68,83,83,86,70,474,79.00,Germany,Icono,Icono
van der Sar,89,GK,86,88,81,87,40,93,475,79.17,Netherlands,Icono,Icono
Drogba,89,ST,87,90,74,80,44,87,462,77.00,Ivory Coast,Icono,Icono
Ze Roberto,89,LM,89,82,88,91,80,83,513,85.50,Brazil,Bundesliga,
Cristiano Ronaldo,89,ST,84,90,80,86,36,83,459,76.50,Portugal,ROSHN Saudi League,Al Nassr
Touré,89,CM,82,85,88,87,83,91,516,86.00,Ivory Coast,Premier League,
Howard,89,GK,87,85,89,88,56,87,492,82.00,United States,Premier League,
van Nistelrooy,89,ST,84,89,71,83,38,80,445,74.17,Netherlands,Icono,Icono
Eto'o,89,ST,92,90,79,87,45,80,473,78.83,Cameroon,Icono,Icono
Nedved,89,LM,86,85,88,89,60,78,486,81.00,Czech Republic,Icono,Icono
Stam,89,CB,85,54,65,71,91,90,456,76.00,Netherlands,Premier League,
Fernando Morientes,89,ST,84,90,77,83,45,86,465,77.50,Spain,LALIGA EA SPORTS,
Luis Figo,89,RW,89,84,86,90,38,77,464,77.33,Portugal,Icono,Icono
Lizarazu,89,LB,89,60,81,84,84,85,483,80.50,France,Bundesliga,
Stoichkov,89,ST,90,91,84,90,49,84,488,81.33,Bulgaria,Icono,Icono
Cannavaro,89,CB,80,44,62,67,93,83,429,71.50,Italy,Icono,Icono
Nesta,89,CB,76,44,63,68,92,84,427,71.17,Italy,Icono,Icono
Zanetti,89,RB,83,60,84,81,86,78,472,78.67,Argentina,Icono,Icono
Okocha,89,CAM,88,84,84,94,41,70,461,76.83,Nigeria,Premier League,
Shearer,89,ST,82,91,76,78,49,84,460,76.67,England,Icono,Icono
Francescoli,88,CAM,86,88,83,90,44,72,463,77.17,Uruguay,Primera Division,
Tevez,88,ST,85,89,80,86,46,89,475,79.17,Argentina,Premier League,
Sneijder,88,CAM,81,84,90,86,53,75,469,78.17,Netherlands,Serie A Enilive,
Erika Gonzalez,88,CAM,92,87,86,88,70,78,501,83.50,Spain,Liga F,Levante UD
Kewell,88,LW,91,86,89,89,53,73,481,80.17,Australia,Premier League,
Forlan,88,ST,86,90,79,85,55,76,471,78.50,Uruguay,LALIGA EA SPORTS,
Walti,88,CDM,85,67,83,88,86,82,491,81.83,Switzerland,Barclays WSL,Arsenal
Martinez,88,ST,88,86,83,87,55,86,485,80.83,Germany,GPFBL,SC Freiburg
Claudia Pina,88,LW,87,87,87,88,49,74,472,78.67,Spain,Liga F,FC Barcelona
Guti,88,CM,82,86,90,87,65,76,486,81.00,Spain,LALIGA EA SPORTS,
Milito,88,ST,83,89,75,84,43,80,454,75.67,Argentina,Serie A Enilive,
van Persie,88,ST,84,91,84,87,45,73,464,77.33,Netherlands,Icono,Icono
Andreia Jacinto,88,CM,87,80,88,88,82,84,509,84.83,Portugal,Liga F,Real Sociedad
Palmer,88,CAM,82,86,88,90,53,70,469,78.17,England,Premier League,Chelsea
Musiala,88,CAM,86,85,83,91,64,65,474,79.00,Germany,Bundesliga,FC Bayern Munchen
Wirtz,88,CAM,81,78,87,89,50,67,452,75.33,Germany,Bundesliga,Leverkusen
Nico Williams,88,LM,96,78,82,90,39,68,453,75.50,Spain,LALIGA EA SPORTS,Athletic Club
Frimpong,88,RB,94,66,79,90,80,75,484,80.67,Netherlands,Bundesliga,Leverkusen
Raspadori,88,ST,89,87,81,92,37,67,453,75.50,Italy,Serie A Enilive,SSC Napoli
Kompany,88,CB,80,60,68,70,90,86,454,75.67,Belgium,Premier League,
Oberdorf,88,CDM,75,70,80,78,88,93,484,80.67,Germany,GPFBL,FC Bayern Munchen
Balogun,88,ST,92,88,74,87,37,82,460,76.67,United States,Ligue 1 McDonald's,AS Monaco
Bjorn,88,CB,84,67,83,82,88,83,487,81.17,Sweden,Barclays WSL,Chelsea
Saka,88,RM,87,85,82,89,61,71,475,79.17,England,Premier League,Arsenal
Katoto,88,ST,85,87,77,84,39,74,446,74.33,France,Arkema PL,Paris SG
Endler,88,GK,87,82,84,90,42,89,474,79.00,Chile,Arkema PL,OL
Mead,88,RW,82,84,84,88,67,73,478,79.67,England,Barclays WSL,Arsenal
Rutter,88,CAM,88,80,82,87,50,82,469,78.17,France,Premier League,Brighton
Simons,88,CAM,86,82,87,89,66,76,486,81.00,Netherlands,Bundesliga,RB Leipzig
Veron,88,CM,80,84,88,87,79,84,502,83.67,Argentina,Icono,Icono
Klose,88,ST,86,87,73,80,40,79,445,74.17,Germany,Icono,Icono
Pajor,88,ST,89,89,65,90,22,72,427,71.17,Poland,Liga F,FC Barcelona
Rafael Leao,88,LW,95,82,83,88,30,78,456,76.00,Portugal,Serie A Enilive,Milano FC
Tchouameni,88,CDM,78,72,82,83,88,85,488,81.33,France,LALIGA EA SPORTS,Real Madrid
Ruben Dias,88,CB,67,39,70,69,89,87,421,70.17,Portugal,Premier League,Manchester City
Valverde,88,CM,88,82,84,84,80,84,502,83.67,Uruguay,LALIGA EA SPORTS,Real Madrid
Blanc,88,CB,78,67,68,76,90,85,464,77.33,France,Icono,Icono
Vieira,88,CM,82,78,80,82,88,90,500,83.33,France,Icono,Icono
Foden,88,RW,86,86,85,90,57,63,467,77.83,England,Premier League,Manchester City
Bastoni,88,CB,80,44,77,78,88,86,453,75.50,Italy,Serie A Enilive,Lombardia FC
Patri Guijarro,88,CDM,78,82,83,87,85,77,492,82.00,Spain,Liga F,FC Barcelona
Koch,88,CB,80,51,72,77,88,85,453,75.50,Germany,Bundesliga,Frankfurt
Kobel,88,GK,87,86,73,89,44,87,466,77.67,Switzerland,Bundesliga,Borussia Dortmund
Martens van Leer,88,LW,85,88,87,92,50,78,480,80.00,Netherlands,Arkema PL,Paris SG
Karchaoui,88,LW,90,67,83,88,82,67,477,79.50,France,Arkema PL,Paris SG
Hernandez,88,LB,96,78,80,85,82,90,511,85.17,France,Serie A Enilive,Milano FC
Gabriel,88,CB,80,43,72,68,89,87,439,73.17,Brazil,Premier League,Arsenal
Osimhen,88,ST,90,87,66,84,43,83,453,75.50,Nigeria,Trendyol Super Lig,Galatasaray
Lavelle,88,CM,87,81,86,88,46,64,452,75.33,United States,NWSL,NJ/NY Gotham
Malinovskyi,88,CM,85,88,88,86,77,88,512,85.33,Ukraine,Serie A Enilive,Genoa
Dembele,88,RW,94,80,84,90,44,61,453,75.50,France,Ligue 1 McDonald's,Paris SG
Horan,88,CM,82,87,89,88,73,85,504,84.00,United States,Arkema PL,OL
Horan,88,CM,81,86,88,87,65,82,489,81.50,United States,Arkema PL,OL
Gabriel Jesus,88,ST,88,86,82,91,46,83,476,79.33,Brazil,Premier League,Arsenal
Lees-Melou,88,CDM,82,80,88,86,83,84,503,83.83,France,Ligue 1 McDonald's,Stade Brestois 29
de Jong,88,CM,85,75,88,90,82,84,504,84.00,Netherlands,LALIGA EA SPORTS,FC Barcelona
Diani,88,RW,90,85,81,88,56,79,479,79.83,France,Arkema PL,OL
Reiten,88,LM,88,80,85,86,60,66,465,77.50,Norway,Barclays WSL,Chelsea
Renard,88,CB,48,66,71,69,91,84,429,71.50,France,Arkema PL,OL
Williams,88,CM,85,90,90,87,78,80,510,85.00,England,Barclays WSL,
Irene Paredes,88,CB,71,51,67,68,89,84,430,71.67,Spain,Liga F,FC Barcelona
Debinha,88,CAM,84,81,87,91,46,68,457,76.17,Brazil,NWSL,KC Current
Marta,88,CAM,80,86,88,91,65,80,490,81.67,Brazil,NWSL,Orlando Pride
Kesler,88,CM,81,85,88,86,78,77,495,82.50,Germany,GPFBL,
Sinclair,88,ST,82,91,88,87,50,88,486,81.00,Canada,NWSL,Portland Thorns
Sasic,88,ST,85,91,73,82,46,83,460,76.67,Germany,GPFBL,
Popp,88,ST,78,88,77,81,53,91,468,78.00,Germany,GPFBL,VfL Wolfsburg
Dimarco,88,LB,86,84,88,87,83,85,513,85.50,Italy,Serie A Enilive,Lombardia FC
Diogo Jota,88,ST,87,86,82,88,63,83,489,81.50,Portugal,Premier League,Liverpool
Luis Rioja,88,LM,89,87,84,90,70,82,502,83.67,Spain,LALIGA EA SPORTS,Valencia CF
Amrabat,88,CDM,78,79,83,87,86,90,503,83.83,Morocco,Trendyol Super Lig,Fenerbahce
Laudrup,88,CAM,84,80,88,90,40,63,445,74.17,Denmark,Icono,Icono
Watkins,88,ST,88,88,78,84,53,86,477,79.50,England,Premier League,Aston Villa
Bernardo Silva,88,CM,75,78,86,92,71,69,471,78.50,Portugal,Premier League,Manchester City
Paulo Futre,88,LW,93,81,80,93,37,58,442,73.67,Portugal,LALIGA EA SPORTS,
Adama Traore,88,RM,95,80,77,88,52,88,480,80.00,Spain,Premier League,Fulham
Bruno Fernandes,88,CAM,78,88,90,87,66,80,489,81.50,Portugal,Premier League,Man Utd
Ederson,88,GK,87,82,91,87,64,86,497,82.83,Brazil,Premier League,Manchester City
Schar,88,CB,80,74,87,84,90,88,503,83.83,Switzerland,Premier League,Newcastle Utd
Ake,88,CB,81,56,80,81,88,85,471,78.50,Netherlands,Premier League,Manchester City
Marquinhos,88,CB,81,60,77,75,90,83,466,77.67,Brazil,Ligue 1 McDonald's,Paris SG
Rudiger,88,CB,82,55,73,70,86,86,452,75.33,Germany,LALIGA EA SPORTS,Real Madrid
Martinez,88,GK,86,84,85,87,60,88,490,81.67,Argentina,Premier League,Aston Villa
Oblak,88,GK,85,90,78,87,46,86,472,78.67,Slovenia,LALIGA EA SPORTS,Atletico de Madrid
Casemiro,88,CDM,80,79,83,78,88,89,497,82.83,Brazil,Premier League,Man Utd
Son,88,LW,88,90,83,86,44,74,465,77.50,Korea Republic,Premier League,Spurs
Oxlade-Chamberlain,88,RW,88,85,87,91,79,82,512,85.33,England,Trendyol Super Lig,Besiktas
Griezmann,88,ST,80,88,87,89,59,75,478,79.67,France,LALIGA EA SPORTS,Atletico de Madrid
Neymar Jr,88,LW,87,82,86,93,40,65,453,75.50,Brazil,ROSHN Saudi League,Al Hilal
Lewandowski,88,ST,75,88,79,86,44,84,456,76.00,Poland,LALIGA EA SPORTS,FC Barcelona
Hazard,88,LM,91,83,84,91,37,68,454,75.67,Belgium,Premier League,
Matuidi,88,CDM,85,74,82,82,86,87,496,82.67,France,Ligue 1 McDonald's,
Noor,88,CAM,85,88,85,86,66,83,493,82.17,Saudi Arabia,ROSHN Saudi League,
Koeman,88,CB,76,86,85,78,88,84,497,82.83,Netherlands,Icono,Icono
Hagi,88,CAM,82,86,88,88,41,64,449,74.83,Romania,Icono,Icono
Benzema,88,ST,83,88,83,87,41,80,462,77.00,France,ROSHN Saudi League,Al Ittihad
Fernando Hierro,88,CB,74,67,74,68,92,84,459,76.50,Spain,Icono,Icono
Messi,88,RW,79,85,87,92,33,64,440,73.33,Argentina,MLS,Inter Miami CF
Ribery,88,LM,89,85,85,90,37,65,451,75.17,France,Icono,Icono
Gomez,88,ST,83,90,73,82,43,83,454,75.67,Germany,Bundesliga,
Mascherano,88,CB,76,55,76,75,89,86,457,76.17,Argentina,LALIGA EA SPORTS,
Maicon,88,RB,86,82,81,84,83,85,501,83.50,Brazil,Serie A Enilive,
Schweinsteiger,88,CM,76,83,86,83,83,83,494,82.33,Germany,Icono,Icono
Di Natale,88,ST,90,91,85,90,46,70,472,78.67,Italy,Serie A Enilive,
Pichon,88,ST,85,89,80,88,44,75,461,76.83,France,Icono,Icono
Bale,88,RW,95,89,84,89,65,79,501,83.50,Wales,Icono,Icono
Rooney,88,ST,88,90,81,86,53,87,485,80.83,England,Icono,Icono
van der Sar,88,GK,84,87,79,86,39,92,467,77.83,Netherlands,Icono,Icono
Cech,88,GK,86,85,76,88,54,90,479,79.83,Czech Republic,Icono,Icono
Xabi Alonso,88,CM,80,80,89,82,80,81,492,82.00,Spain,Icono,Icono
Beasley,88,LM,94,80,83,89,80,81,507,84.50,United States,Premier League,
Marquez,88,CB,74,65,75,74,90,88,466,77.67,Mexico,LALIGA EA SPORTS,
Riquelme,88,CAM,71,84,90,90,33,66,434,72.33,Argentina,Icono,Icono
Cordoba,88,CB,87,64,66,70,91,88,466,77.67,Colombia,Serie A Enilive,
Gerrard,88,CM,78,88,88,83,75,82,494,82.33,England,Icono,Icono
Shevchenko,88,ST,86,90,71,85,35,73,440,73.33,Ukraine,Icono,Icono
Crespo,88,ST,88,89,72,88,38,73,448,74.67,Argentina,Icono,Icono
Ferdinand,88,CB,82,48,65,64,90,85,434,72.33,England,Icono,Icono
Nedved,88,LM,84,84,86,87,58,77,476,79.33,Czech Republic,Icono,Icono
Litmanen,88,CAM,82,87,83,83,35,65,435,72.50,Finland,Eredivisie,
Carragher,88,CB,80,54,70,70,89,86,449,74.83,England,Premier League,
Lizarazu,88,LB,87,59,80,82,83,82,473,78.83,France,Bundesliga,
Owen,88,ST,89,88,69,87,35,66,434,72.33,England,Icono,Icono
